Timestamp,User ID (Copy and Paste from Above),What do you hope would be the outcome of your committee? ,What was your criteria for choosing politicians in your committee?,In your initial committee selection: ,In your revised committee selection: ,In your initial committee selection:,In your revised committee selection:,How useful did you find the SCATTERPLOT VIEW in the interface?,How useful did you find the DETAIL VIEW in the interface?,How useful did you find the CATEGORICAL FILTERS in the interface?,How useful did you find the NUMERICAL FILTERS in the interface?,How useful did you find the SELECTED COMMITTEE LIST in the interface?,How useful did you find the COMPARISON OF YOUR INTERACTIONS WITH THE DATASET after you completed your initial committee selection?
8/15/2019 16:57:11,q4Eycyoegu9K,"Intelligent, respectful discussion that ends with a better compromise between pro life and pro choice opinions.","Political experience, abortion after 6 weeks, age, gender, political party, and religion","Gender, Party, Religion, Age (years), Political Experience (years), Policy Views on Abortion","Gender, Party, Religion, Age (years), Political Experience (years), Policy Views on Abortion",Policy Views on Abortion,Policy Views on Abortion,5,5,4,5,5,4
8/15/2019 18:18:13,WmtJlhR8J1J0,A balanced view on the concerned matter could be outputted.,I tried to balance number of democrats and republicans in the committee along with equal gender ratio and tried to select people with as varied opinions as possible.,"Gender, Party, Occupation, Religion, Age (years), Political Experience (years), Policy Views on Abortion, Policy Views on Gun Control, Policy Views on Medicare","Age (years), Political Experience (years), Policy Views on Abortion",Party,Political Experience (years),5,5,5,5,5,4
8/20/2019 15:20:31,oxTwBvZsd5HT,"The committee should be able to present a solution that appeals to the target demographic of the bill, namely women who might need an abortion.","Mostly women, under the age of 60, as this , probabilistically, represents the sample most affected by the bill. I selected one man to add a complementary voice.","Gender, Education, Age (years), Policy Views on Free School Lunch, Policy Views on Medicare",Education,Gender,Education,3,5,5,3,3,5
8/21/2019 14:54:57,dxNzpa5cz1lD,I want the committee to reflect the views of the constituents without any bias.,"I wanted to have a fairly even distribution among political party, age, gender, and occupation. I wanted to have more women and doctors in the committee as the legislature pertains to female health.","Gender, Party, Occupation, Education, Age (years), Policy Views on Abortion","Occupation, Age (years)",Policy Views on Abortion,Occupation,4,5,5,2,5,5
8/26/2019 9:39:01,9xOrWE8cZEqz,"An accurate representation of the opinions of the people of Georgia. This means 1) the committee talks with a representative slice of the population of GA, and 2) it reflects their opinions accurately without adding their personal biases to it.","Young, 60-40 female-male ratio, neutral opinion on abortion","Gender, Religion, Age (years), Policy Views on Abortion","Gender, Religion, Age (years), Policy Views on Abortion",Gender,Gender,5,3,5,4,4,4
8/26/2019 10:41:06,0YhSRQx5Cdp5,A healthy debate that involves more women who are actually affected by the decision.,"I tried to chose people who did not have extreme views about the issue so that the final outcome reflects a ""sway"" or change in the original opinion. I also tried to have an equitable distribution across gender and religion. I preferred politicians with higher educational qualifications and political experience.","Gender, Occupation, Education, Religion, Political Experience (years), Policy Views on Abortion","Gender, Occupation, Education, Religion, Political Experience (years), Policy Views on Abortion",Gender,Gender,4,3,5,4,5,5
8/26/2019 12:46:48,6XiVahmAR94D,The committee should review the bill banning the abortion and rule in favor or more liberal terms. The 6 weeks timeline is too short when most other developed and developing nations have timelines ranging from 10-16 weeks. Also the fact that there are no exceptions for victims of sexual violence makes the review of the bill more important.,"I tried to balance the gender with a slight skew towards having more females as the bill directly affects their health and well-being. I would have preferred to have members from all the religious groups and education levels in the committee but I felt that separating religion from politics should be a priority. Also I realized that a vast majority of the candidates were affiliated to one religious group and therefore I did not focus on that criteria much. I tried to include people whose opinions range from -3 to 2 in order to have both sides present their logical arguments. But since most of the people with views in the range [-3, 0] were females, the committee had a very few female members favoring the bill which might skew the debate.","Gender, Age (years), Policy Views on Medical Marijuana, Policy Views on Abortion, Policy Views on Free School Lunch, Policy Views on Medicare, Policy Views on Veterans Affairs","Gender, Age (years), Policy Views on Abortion, Policy Views on Free School Lunch, Policy Views on Medicare, Policy Views on Veterans Affairs",Gender,Gender,4,5,4,4,5,3
8/26/2019 14:32:56,m8YdCZB7euiy,I hope that there is enough representation in the committee from people on all the sides of the arguments and that there is enough female representation in the committee.,"In accordance with what I hope the committee may achieve, I wanted the committee to have an equal representation from both sides of the aisle, have a balanced gender ratio, and people with different levels of experience in politics.","Gender, Age (years), Political Experience (years), Policy Views on Medical Marijuana, Policy Views on Abortion, Policy Views on Gun Control","Gender, Age (years), Political Experience (years), Policy Views on Medical Marijuana, Policy Views on Abortion",Policy Views on Abortion,Policy Views on Abortion,4,3,4,4,5,4
8/27/2019 9:20:40,28brBef2NP77,A balanced polling of all possible viewpoints regarding the bill. Make sure that all viewpoints have the potential to be heard in committee discussions. Also hope that long term consequences of decisions are taken into account.,"- Balanced opinions (not +/- 3 on many political issues)
- Range of experience
- Gender equal
- Political party equal
- I failed to choose a democrat for the bill; although I did choose a Republican against it.","Gender, Party, Education, Political Experience (years), Policy Views on Medical Marijuana, Policy Views on Abortion, Policy Views on Free School Lunch, Policy Views on Gun Control, Policy Views on Alcohol Sales, Policy Views on Medicare, Policy Views on Veterans Affairs","Gender, Party, Education, Political Experience (years), Policy Views on Medical Marijuana, Policy Views on Abortion, Policy Views on Free School Lunch, Policy Views on Gun Control, Policy Views on Alcohol Sales, Policy Views on Medicare, Policy Views on Veterans Affairs",Party,Party,5,4,5,4,4,5
8/27/2019 15:39:50,QQx6IjEb7ps6,An evenly-sided debate or at least a better compromise to the bill. Make sure every view is represented and the committee actually believes they are representing the citizens of GA (lol).,"Having an even split between men and women, first and foremost. Then age (no one older than 65) and education (no high school-only education). Then trying to evenly disperse between the policy attribute on the heart beat bill as much as possible. Used party to find split though.","Gender, Party, Education, Religion, Age (years), Policy Views on Abortion","Gender, Party, Occupation, Education, Religion, Age (years), Policy Views on Abortion",Gender,Gender,4,5,5,4,3,4
